ablation,max_depth,learning_rate,min_child_weight,fold,spearman,r2,rmse
F1+F2+F3+F5,3,0.05,5,2,0.33632612007576196,0.11251949409683626,0.4137337194625636
F1+F2+F3+F5,3,0.05,5,3,0.3011998538070945,0.08456890812180207,0.4153356953135451
F1+F2+F3+F5,3,0.05,5,4,0.32781889251388685,0.10079738287346551,0.4129067733743237
F1+F2+F3+F5,3,0.05,5,5,0.3106463824343985,0.09278550554977583,0.40724792237214746
F1+F2+F3+F5,3,0.1,5,1,0.31898158825129713,0.09966189752524612,0.4115960817926217
F1+F2+F3+F5,3,0.1,5,2,0.3184977829660267,0.09996285097289348,0.41665032414471387
F1+F2+F3+F5,3,0.1,5,3,0.28457416813559366,0.07053605962730736,0.41850697522655833
F1+F2+F3+F5,3,0.1,5,4,0.31417606773378737,0.08510947240204603,0.41649308149206155
F1+F2+F3+F5,3,0.1,5,5,0.2941530426161378,0.0772619255766247,0.4107174053641987
F1+F2+F3+F5,5,0.05,5,1,0.3128739163515317,0.09534365721888671,0.41258195849019796
F1+F2+F3+F5,5,0.05,5,2,0.3098520260672022,0.09116197821019167,0.4186824436159026
F1+F2+F3+F5,5,0.05,5,3,0.2717006256148625,0.0623859029474686,0.42033784387191037
F1+F2+F3+F5,5,0.05,5,4,0.3106259067324177,0.08205308812478707,0.4171881928138726
F1+F2+F3+F5,5,0.05,5,5,0.2831431954259921,0.0619069903891154,0.4141206024251336
F1+F2+F3+F5,5,0.1,5,1,0.29258465425779995,0.058272302126617936,0.42095055731119235
F1+F2+F3+F5,5,0.1,5,2,0.2630090710873042,0.047219586458510765,0.4286846340230929
F1+F2+F3+F5,5,0.1,5,3,0.2556672126632749,0.03250773595638923,0.42698260113625525
F1+F2+F3+F5,5,0.1,5,4,0.2778434074911593,0.04727765369914683,0.4250170983084624
F1+F2+F3+F5,5,0.1,5,5,0.2718291733800233,0.03406419139958772,0.42022125976202046
